,number,position,term,ward,district,candidates,candidate_count
380,3,commissioner,,,ROBINSON,"['Ronald J. Shiwarski', 'Kenneth Kisow', 'James J. Barefoot', 'Maureen Malick', 'Onorato Bucci', 'John F. Richnavsky', 'Mindy Houser', 'Roberta A. Corpuz']",8
381,2,constable,,,ROBINSON,['Craig M. Cannella'],1
382,1,tax collector,,,ROSS,['Matthew Mager'],1
384,2,constable,,,ROSS,"['Leonard Anderson', 'Douglas Renzelman']",2
385,1,mayor,,,ROSSLYN FARMS,['Isabel Ford'],1
386,1,tax collector,,,ROSSLYN FARMS,['none'],0
387,4,member of council,,,ROSSLYN FARMS,"['Leanora Griffin', 'Jonathan Glance', 'Barbara Becker', 'David Robb']",4
388,1,constable,,,ROSSLYN FARMS,['Charles Arcoletti'],1
389,1,tax collector,,,SCOTT,['Lisa Riley'],1
392,2,constable,,,SCOTT,"['Joe Riley', 'Bradley Skees']",2
393,1,mayor,,,SEWICKLEY,['George Shandon'],1
394,1,tax collector,,,SEWICKLEY,"['Joshua Munn', 'Larry Rice']",2
399,1,mayor,,,SEWICKLEY HEIGHTS,['John Oliver'],1
400,1,tax collector,,,SEWICKLEY HEIGHTS,['none'],0
401,4,member of council,,,SEWICKLEY HEIGHTS,"['Craig Kinney', 'Phil Hundley', 'Tom Pangburn', 'Carey Sirianni']",4
402,1,constable,,,SEWICKLEY HEIGHTS,['none'],0
403,1,mayor,,,SEWICKLEY HILLS,['none'],0
404,1,tax collector,,,SEWICKLEY HILLS,['Douglas Nolfi'],1
405,3,member of council,,,SEWICKLEY HILLS,['none'],0
406,1,constable,,,SEWICKLEY HILLS,['none'],0
407,1,tax collector,,,SHALER,['Erin C. Bartkins'],1
409,2,constable,,,SHALER,"['Edward Stankovic', 'Gary John Cutenese']",2
410,1,mayor,,,SHARPSBURG,"['Brittany Reno', 'Joseph Simbari']",2
411,1,tax collector,,,SHARPSBURG,['Patricia Hyatt'],1
412,4,member of council,4,,SHARPSBURG,"['Taylor Joseph Pecze', 'Kayla Portis', 'Carrie Tongarm', 'Brian R. Kozera', 'Karen Pilarski-Pastor', 'Bradley R. Truman', 'Kenneth Robert Aquiline', 'Sarah Ishman']",8
413,1,member of council,2,,SHARPSBURG,"['Taylor Joseph Pecze', 'Kayla Portis', 'Carrie Tongarm', 'Brian R. Kozera', 'Karen Pilarski-Pastor', 'Bradley R. Truman', 'Kenneth Robert Aquiline', 'Sarah Ishman']",8
414,1,constable,,,SHARPSBURG,['none'],0
415,1,tax collector,,,SOUTH FAYETTE,['Kevin P. Biber'],1
416,1,commissioner,,,SOUTH FAYETTE,['Rabecca M. Sray'],1
417,2,constable,,,SOUTH FAYETTE,"['Mark A. Lyons', 'Robert D. Craig']",2
418,1,tax collector,,,SOUTH PARK,"['Lawrence Arrigo', 'Derek Parker']",2
419,1,auditor,,,SOUTH PARK,['none'],0
420,1,supervisor,,,SOUTH PARK,"['Edward Snee', 'Lawrence D. Vogel', 'George Karpacs', 'Diana Ifft-Cecotti']",4
421,1,constable,,,SOUTH PARK,['Edmund J. Guzek'],1
422,1,tax collector,,,SOUTH VERSAILLES,['Sherry Kahler'],1
423,3,commissioner,,,SOUTH VERSAILLES,['none'],0
424,2,constable,,,SOUTH VERSAILLES,['none'],0
425,1,mayor,,,SPRINGDALE BOROUGH,['none'],0
426,1,tax collector,,,SPRINGDALE BOROUGH,['Deborah Sigmund'],1
427,4,member of council,,,SPRINGDALE BOROUGH,"['Michael Ziencik', 'Eileen  Miller', 'Brittni Lee Bair', 'Jason Overly']",4
428,1,constable,,,SPRINGDALE BOROUGH,['none'],0
429,1,tax collector,,,SPRINGDALE TOWNSHIP,"['Kathryn M. Winwood', 'Kathryn M. Winwood']",2
430,2,commissioner,,,SPRINGDALE TOWNSHIP,"['Shirley Redman', 'Tim Sweet', 'Tim Basilone']",3
431,2,constable,,,SPRINGDALE TOWNSHIP,['none'],0
432,1,tax collector,,,STOWE,['none'],0
433,2,commissioner,,,STOWE,"['Darrell K. Chestnut, III', 'Louis F. Robin Parrilla']",2
434,2,constable,,,STOWE,"['Patrick S. Jennings, Sr.']",1
435,1,mayor,,,SWISSVALE,"['Frank Berry', 'Deneen Swartzwelder']",2
436,1,tax collector,,,SWISSVALE,['Thomas Barr'],1
437,4,member of council,,,SWISSVALE,"['Frank Berry', 'Shawn Alfonso-Wells', 'Angela D. Stribling', 'John Wilson', 'Martin F. Busch', 'Jeremy Brake-Zacherl', 'Fred Lee Quinn III', 'Joshua Miser', 'Abigail Salisbury']",9
438,1,constable,,,SWISSVALE,['Francis Keyes'],1
439,1,mayor,,,TARENTUM,"['Carrie Fox', 'Robert Lang', 'Eric Carter', 'Stephanie Adams']",4
440,1,tax collector,,,TARENTUM,['Karen Marietti'],1
444,1,mayor,,,THORNBURG,['Thomas M. Mackin Sr.'],1
445,1,tax collector,,,THORNBURG,['none'],0
446,4,member of council,,,THORNBURG,"['Anthony H. Szmul', 'Lauren A. Melfa Catanzarite', 'Sigo Falk', 'Scott Quinn', 'Kimberly A. DePaolo', 'Vincent Coppola']",6
447,1,constable,,,THORNBURG,['none'],0
448,1,mayor,,,TURTLE CREEK,"['Adam Robert Forgie', 'John Parker']",2
449,1,tax collector,,,TURTLE CREEK,['Richard T. Smith'],1
455,2,constable,,,UPPER ST CLAIR,['none'],0
456,1,mayor,,,VERONA,['David P. Ricupero'],1
457,1,tax collector,,,VERONA,['none'],0
458,4,member of council,,,VERONA,"['Raymon S. Suchevich', 'Vincent J. Flotta', 'Rhoda G. Worf', 'Nancy A. Carpenter', 'Patricia Lynn Hredzak-Showalter']",5
459,1,constable,,,VERONA,['none'],0
460,1,mayor,,,VERSAILLES,['James J. Fleckenstein'],1
461,1,tax collector,,,VERSAILLES,['Melanie D. Beresford'],1
462,4,member of council,4,,VERSAILLES,"['Lisa Fleckenstein', 'Mike Kisan', 'Linda R. Sheedy', 'Christine M. Van Tol']",4
463,2,member of council,2,,VERSAILLES,"['Lisa Fleckenstein', 'Mike Kisan', 'Linda R. Sheedy', 'Christine M. Van Tol']",4
464,1,constable,,,VERSAILLES,['none'],0
465,1,mayor,,,WALL,['none'],0
466,1,tax collector,,,WALL,['none'],0
467,3,member of council,,,WALL,['none'],0
468,1,constable,,,WALL,['Dennis M. Dopirak'],1
469,1,tax collector,,,WEST DEER,['Dorothy J. Bonovitz'],1
470,1,auditor,6,,WEST DEER,['none'],0
471,1,auditor,4,,WEST DEER,['none'],0
472,1,auditor,2,,WEST DEER,['none'],0
475,1,constable,,,WEST DEER,['Albert M. Dancisin'],1
476,1,mayor,,,WEST ELIZABETH,"['Keved White', 'Cathy Welty']",2
477,1,tax collector,,,WEST ELIZABETH,['Robert N. Welty'],1
478,1,auditor,,,WEST ELIZABETH,['none'],0
479,4,member of council,,,WEST ELIZABETH,"['Lisa Morris', 'Louise M. Biddle', 'Raymond P. Dodds, Jr.']",3
480,1,constable,,,WEST ELIZABETH,['none'],0
481,1,mayor,,,WEST HOMESTEAD,"['John J. Dindak', 'John J. Karafa, Jr.']",2
482,1,tax collector,,,WEST HOMESTEAD,['Lisa Guckes'],1
483,4,member of council,4,,WEST HOMESTEAD,"['Ashley Nicole Cain', 'Paul Ciccone', 'Barb Ferson', 'David A. Harhai', 'William E. McLaughlin', 'Thomas Edward Joyce', 'Roseann M.  Scolieri']",7
484,1,member of council,2,,WEST HOMESTEAD,"['Ashley Nicole Cain', 'Paul Ciccone', 'Barb Ferson', 'David A. Harhai', 'William E. McLaughlin', 'Thomas Edward Joyce', 'Roseann M.  Scolieri']",7
485,1,constable,,,WEST HOMESTEAD,['none'],0
486,1,mayor,,,WEST MIFFLIN,"['Raymond Rost', 'Daniel Davis', 'Chris Kelly']",3
487,1,tax collector,,,WEST MIFFLIN,['Jonathan Hess'],1
488,4,member of council,,,WEST MIFFLIN,"['Daniel Davis', 'Edward Kellar', 'Karen Santoro', 'Scott Stephenson', 'John Inglis']",5
489,1,constable,,,WEST MIFFLIN,['Jeremy A. Stillwagon'],1
490,1,mayor,,,WEST VIEW,['John R. Henry'],1
491,1,tax collector,,,WEST VIEW,['Rita A. Schwarzmeier'],1
492,4,member of council,,,WEST VIEW,"['William Aguglia', 'Robert D. Schellhaas', 'Matthew R. Gajtka', 'Bryan S. Kircher', 'Eugene Borio']",5
493,1,constable,,,WEST VIEW,"['William Crowell, Jr.']",1
494,1,mayor,,,WHITAKER,['none'],0
495,1,tax collector,,,WHITAKER,['Patricia A. Pasquantonio'],1
496,4,member of council,,,WHITAKER,"['Albert E. Race', 'Michael N. Bogesdorfer', 'David Funk', 'Kenneth Seech']",4
497,1,constable,,,WHITAKER,['Richard Pasquantonio'],1
498,1,mayor,,,WHITEHALL,"['Jim Nowalk', 'Chris A. Mooney']",2
499,1,tax collector,,,WHITEHALL,['Kelly Sgattoni'],1
500,4,member of council,,,WHITEHALL,"['Kathy DePuy', 'Linda J. Book', 'Harold A. Plusa', 'Stone Sobieralski', 'John Paravati', 'William J. Veith']",6
501,1,constable,,,WHITEHALL,['none'],0
502,1,mayor,,,WHITE OAK,['Ina Jean Marton'],1
503,1,tax collector,,,WHITE OAK,['Lisa Pitchford'],1
504,4,member of council,,,WHITE OAK,"['Kenneth S. Robb', 'George A. Dillinger', 'David J. Pasternak', 'Kenneth A. Obusek', 'Loree Scharritter', 'Julie A. Opferman', 'Jason Russell', 'Joelle M. Harbert']",8
505,1,constable,,,WHITE OAK,['none'],0
506,1,tax collector,,,WILKINS,['Michelle Criner'],1
509,2,constable,,,WILKINS,['none'],0
510,1,mayor,,,WILKINSBURG,"['Michael A. Johnson', 'Dontae Comans']",2
511,1,tax collector,,,WILKINSBURG,['Lisa Ciccarelli'],1
515,1,mayor,,,WILMERDING,['Gregory M. Jakub'],1
516,1,tax collector,,,WILMERDING,['Frank J. Tylka'],1
517,3,member of council,,,WILMERDING,"['Kelly B. Maxwell', 'Stephen Volpe', 'Stephen W. Shurgot', 'John A. Thomas']",4
518,1,constable,,,WILMERDING,['none'],0
