,number,position,term,ward,district,candidates,candidate_count
91,1,member of council,2,,CHURCHILL,"['Valerie Reinthaler', 'Diane Law', 'Brooke M. Burchette Williams', 'Debra Casini Klein', 'Matthew Castiglia']",5
92,1,constable,,,CHURCHILL,['Daniel J. Paull'],1
93,1,mayor,,,CLAIRTON,"['James A. Cerqua', 'Denise Johnson Clemmons', 'Richard L. Lattanzi']",3
96,1,tax collector,,,COLLIER,['none'],0
97,3,commissioner,,,COLLIER,"['Sadie Lee Restivo', 'Frank Trosky', 'Mary Ann Cupples Wisniowski', 'Kimberlee Duran-Woomer', 'Wayne M. Chiurazzi', 'Timothy W. Young', 'Stephanie Bonincontro']",7
98,2,constable,,,COLLIER,['Daniel A. Styche'],1
99,1,mayor,,,CORAOPOLIS,"['Michael Dixon', 'Robb J. Cardimen']",2
100,1,tax collector,,,CORAOPOLIS,['David Falcione'],1
103,1,mayor,,,CRAFTON,"['Fred Amendola', 'Mike Zuhl', 'Coletta A. Perry']",3
104,1,tax collector,,,CRAFTON,['none'],0
105,4,member of council,4,,CRAFTON,"['Erin Bollenbacher', 'Phillip G. Levasseur', 'Fred Amendola', 'Brad  Crouse', 'Colton L. Chandler', 'John S. Oliverio', 'Vincent L. Ridilla', 'Sean A. Tremba', 'Regina B. Patton', 'James L. Santucci', 'Justin Marks', 'Brad  Crouse', 'Kirsten R. Compitello']",13
106,2,member of council,2,,CRAFTON,"['Erin Bollenbacher', 'Phillip G. Levasseur', 'Fred Amendola', 'Brad  Crouse', 'Colton L. Chandler', 'John S. Oliverio', 'Vincent L. Ridilla', 'Sean A. Tremba', 'Regina B. Patton', 'James L. Santucci', 'Justin Marks', 'Brad  Crouse', 'Kirsten R. Compitello']",13
107,1,constable,,,CRAFTON,['James J. Bragano'],1
108,1,tax collector,,,CRESCENT,['Morgan Withee'],1
111,2,constable,,,CRESCENT,['Daniel Perciavalle'],1
112,1,mayor,,,DORMONT,['Jason Walsh'],1
113,1,tax collector,,,DORMONT,['none'],0
114,4,member of council,,,DORMONT,"['Jennifer Mazzocco', 'Alvaro A. Varela, III', 'Ilene Leventhal Dubin']",3
115,1,constable,,,DORMONT,['none'],0
116,1,mayor,,,DRAVOSBURG,['Kevin R. McKelvey'],1
117,1,tax collector,,,DRAVOSBURG,['Charles Gross'],1
118,3,member of council,,,DRAVOSBURG,"['William Snodgrass Jr.', 'Jay E. McKelvey', 'John R. Palcsey']",3
119,1,constable,,,DRAVOSBURG,['Paul Eagle'],1
120,1,mayor,,,DUQUESNE,"['Elaine Washington', 'Timothy Caldwell', 'R. Scott Adams', 'Charles Morgan, IV', 'Nickole Nesby']",5
121,1,controller,,,DUQUESNE,['none'],0
122,2,member of council,,,DUQUESNE,"['Aaron R. Adams', 'Benjamin Church', 'Tamela Walker', 'Burt Comensky', 'Elaine Washington']",5
124,1,tax collector,,,EAST DEER,['Bernadette Paulovich'],1
125,1,auditor,,,EAST DEER,['Jennifer Savka'],1
127,2,constable,,,EAST DEER,['none'],0
128,1,mayor,,,EAST MCKEESPORT,['Robert P. Howard'],1
129,1,tax collector,,,EAST MCKEESPORT,['Robert Ferrainolo'],1
130,4,member of council,,,EAST MCKEESPORT,"['John Ekiert', 'Peter A. McGinty', 'Lynn Rosenbayger Brown', 'Linda Nolan']",4
131,1,constable,,,EAST MCKEESPORT,['none'],0
132,1,mayor,,,EAST PITTSBURGH,"['Earnest Frazier', 'Markus E. Adams']",2
133,1,tax collector,,,EAST PITTSBURGH,['Patrick J. Geric'],1
136,1,mayor,,,EDGEWOOD,"[""Ryan O'Donnell""]",1
137,1,tax collector,,,EDGEWOOD,['none'],0
138,4,member of council,4,,EDGEWOOD,"['Justin J. Petrolla', 'Brian Blasiole', 'Mike Frank Epitropoulos', 'John S. Wilson', 'Bhavmi Patel', 'Ronan Jones', 'Jennifer Lynne Gleba', 'Larry Conklin']",8
139,1,member of council,2,,EDGEWOOD,"['Justin J. Petrolla', 'Brian Blasiole', 'Mike Frank Epitropoulos', 'John S. Wilson', 'Bhavmi Patel', 'Ronan Jones', 'Jennifer Lynne Gleba', 'Larry Conklin']",8
140,1,constable,,,EDGEWOOD,['none'],0
141,1,mayor,,,EDGEWORTH,['Gary L. Smith'],1
142,1,tax collector,,,EDGEWORTH,['Chris Blazak'],1
143,4,member of council,,,EDGEWORTH,"['Katherine Larsen', 'Joseph T. Hoepp', 'Daniel S. Wilson', 'Ivan T. Hofmann']",4
144,1,constable,,,EDGEWORTH,['none'],0
145,1,mayor,,,ELIZABETH BOROUGH,['Barry G. Boucher'],1
146,1,tax collector,,,ELIZABETH BOROUGH,['Robin Schmidt'],1
147,4,member of council,,,ELIZABETH BOROUGH,"['Chad Rager', 'Dana Cress']",2
148,1,constable,,,ELIZABETH BOROUGH,['none'],0
149,1,tax collector,,,ELIZABETH TOWNSHIP,['Mary E. Walos'],1
151,2,constable,,,ELIZABETH TOWNSHIP,['Gary Corey'],1
152,1,mayor,,,EMSWORTH,['none'],0
153,1,tax collector,,,EMSWORTH,"['Laura A. West', 'Karen M. Getz', 'William A. Rumpf']",3
154,4,member of council,,,EMSWORTH,"['Kevin Yurkovich', 'Daniel Lenz']",2
155,1,constable,,,EMSWORTH,['Sam Kochefski'],1
156,1,mayor,,,ETNA,['Thomas J. Rengers'],1
157,1,tax collector,,,ETNA,['Karen Tomaszewski'],1
161,1,tax collector,,,FAWN,['Margaret Hunkele'],1
162,1,auditor,6,,FAWN,['none'],0
163,2,supervisor,,,FAWN,"['Daniel R. Selfridge, Jr.', 'Paula J. Legge', 'David A. Montanari']",3
164,1,constable,,,FAWN,['none'],0
165,1,tax collector,,,FINDLAY,"['Barbara Coates', 'Deborah Lynn Faux']",2
166,1,auditor,,,FINDLAY,['Kimberly Sue Henry'],1
167,1,supervisor,,,FINDLAY,['Thomas J. Gallant'],1
168,1,constable,,,FINDLAY,"['William Edward Peterson, Jr.']",1
169,1,mayor,,,FOREST HILLS,['Frank Porko'],1
170,1,tax collector,,,FOREST HILLS,['none'],0
171,4,member of council,,,FOREST HILLS,"['Cecil Watkins', 'Markus Erbeldinger', 'William J. Gorol', 'Barbara Martin', 'Lawrence Sachs', 'Angelo Baiocchi', 'Nicole Schaffner']",7
172,1,constable,,,FOREST HILLS,['Nataia Malloy'],1
173,1,tax collector,,,FORWARD,['William Firczak'],1
174,1,auditor,6,,FORWARD,['none'],0
175,1,auditor,4,,FORWARD,['none'],0
176,1,auditor,2,,FORWARD,['none'],0
177,1,supervisor,,,FORWARD,"['Thomas DeRosa', 'Jayme Stoffer']",2
178,1,constable,,,FORWARD,['none'],0
179,1,mayor,,,FOX CHAPEL,"['Walter A. Scott, III']",1
180,1,tax collector,,,FOX CHAPEL,['none'],0
181,4,member of council,,,FOX CHAPEL,"['Sarah Hanna', 'Jessica Demoise', 'Michael D. Pohl', 'Andrew C. Bennett', 'Harrison S. Lauer', 'Bradley D. Harrison', 'Frederick C. Leech']",7
182,1,constable,,,FOX CHAPEL,['Nelson L. Person'],1
183,1,mayor,,,FRANKLIN PARK,"['Sumana Naik', ""Dennis E. O'Keefe""]",2
184,1,tax collector,,,FRANKLIN PARK,['Kristin L. Losco'],1
187,1,tax collector,,,FRAZER,['Debra L. Bajack'],1
188,1,auditor,,,FRAZER,['David E. Elkin'],1
189,1,supervisor,,,FRAZER,['Willliam J. Creevey'],1
190,1,constable,,,FRAZER,['none'],0
191,1,mayor,,,GLASSPORT,['none'],0
192,1,tax collector,,,GLASSPORT,['Jennifer Bell'],1
193,3,member of council,,,GLASSPORT,"['Keith S. DiMarco', 'Elaina Skiba', 'Paul Trunzo', 'Anthony Colecchi']",4
194,1,constable,,,GLASSPORT,['none'],0
195,1,mayor,,,GLEN OSBORNE,['Barbara M. Carrier'],1
196,1,tax collector,,,GLEN OSBORNE,['none'],0
197,4,member of council,,,GLEN OSBORNE,"['John Orndorff', 'Mary Scalerico']",2
198,1,constable,,,GLEN OSBORNE,['none'],0
199,1,mayor,,,GLENFIELD,['none'],0
200,1,tax collector,,,GLENFIELD,['none'],0
201,1,auditor,6,,GLENFIELD,['none'],0
202,1,auditor,4,,GLENFIELD,['none'],0
203,1,auditor,2,,GLENFIELD,['none'],0
204,4,member of council,,,GLENFIELD,['none'],0
205,1,constable,,,GLENFIELD,['none'],0
206,1,mayor,,,GREEN TREE,['Edward A. Scheneck'],1
207,4,member of council,,,GREEN TREE,"['James J. Turocy', 'Craig A. Romanovich', 'Shannon Barron', ""Lindsey Dawn O'Donnell"", 'Jessica Swiech', 'David L. Rea', 'David Lorenzini', 'Katrina Ann Harmel']",8
208,1,constable,,,GREEN TREE,['none'],0
209,3,member of council,4,,HAMPTON,"['Julie Fritsch', 'Carolynn R. Johnson', 'Bethany H. Blackburn', 'Rebecca Craig', 'Michael W. Bowman', 'Jay R. Hagerman', 'Alexander M. Spiess', 'Richard O. Kernick', 'Alfred Midgley IV']",9
210,1,member of council,2,,HAMPTON,"['Julie Fritsch', 'Carolynn R. Johnson', 'Bethany H. Blackburn', 'Rebecca Craig', 'Michael W. Bowman', 'Jay R. Hagerman', 'Alexander M. Spiess', 'Richard O. Kernick', 'Alfred Midgley IV']",9
211,1,constable,,,HAMPTON,['none'],0
212,1,tax collector,,,HARMAR,['James R. DiPalma'],1
213,1,auditor,6,,HARMAR,['none'],0
214,1,auditor,4,,HARMAR,['none'],0
215,1,auditor,2,,HARMAR,['none'],0
216,2,supervisor,,,HARMAR,"['Harry C. Lenhart', 'Samuel J. Boak', 'Dani Jameson', 'Linda C. Exler', 'Robert W. Seibert Jr', 'Rick Kleiger', 'Frank Hatterer', 'Neal Farkas']",8
217,1,constable,,,HARMAR,['Eric McCall'],1
