,number,position,term,ward,district,candidates,candidate_count,party
71,1,tax collector,,,CARNEGIE,['none'],0,['N/A']
75,1,mayor,,,CASTLE SHANNON,['Donald J. Baumgarten'],1,['Democratic']
76,1,tax collector,,,CASTLE SHANNON,"[""Eileen L. O'malley""]",1,['Democratic']
77,4,member of council,,,CASTLE SHANNON,"['Daniel F. Swisher', 'Jason Maloney', 'Robert Astor', 'Vickie S. Bruce', 'Mark J. Heckmann', 'Janell Kletter Filson']",6,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Republican']"
78,1,constable,,,CASTLE SHANNON,['none'],0,['N/A']
79,1,mayor,,,CHALFANT,['James S. Perry'],1,['Democratic']
80,1,tax collector,,,CHALFANT,['Carol A. Donahue'],1,['Republican']
81,4,member of council,4,,CHALFANT,"['Chad Hoover', 'Evelyn L. Fullwood', 'Alia M. Pustorino', 'Derrick Royster']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
82,1,member of council,2,,CHALFANT,"['Chad Hoover', 'Evelyn L. Fullwood', 'Alia M. Pustorino', 'Derrick Royster']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
83,1,constable,,,CHALFANT,['none'],0,['N/A']
84,1,mayor,,,CHESWICK,['Dan Carroll'],1,['Republican']
85,1,tax collector,,,CHESWICK,['Louise Parkhill'],1,['Democratic']
86,4,member of council,,,CHESWICK,"['Frank Meledandri Jr.', 'Kathleen M. Gillard']",2,"['Republican', 'Republican']"
87,1,constable,,,CHESWICK,['Richard K. Franks'],1,['Republican']
88,1,mayor,,,CHURCHILL,['Paul G. Gamrat'],1,['Democratic']
89,1,tax collector,,,CHURCHILL,['Danielle Weaver'],1,['Democratic']
90,4,member of council,4,,CHURCHILL,"['Valerie Reinthaler', 'Diane Law', 'Brooke M. Burchette Williams', 'Debra Casini Klein', 'Matthew Castiglia']",5,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic']"
91,1,member of council,2,,CHURCHILL,"['Valerie Reinthaler', 'Diane Law', 'Brooke M. Burchette Williams', 'Debra Casini Klein', 'Matthew Castiglia']",5,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic']"
92,1,constable,,,CHURCHILL,['Daniel J. Paull'],1,['Democratic']
93,1,mayor,,,CLAIRTON,"['James A. Cerqua', 'Denise Johnson Clemmons', 'Richard L. Lattanzi']",3,"['Democratic', 'Democratic', 'Democratic']"
96,1,tax collector,,,COLLIER,['none'],0,['N/A']
97,3,commissioner,,,COLLIER,"['Sadie Lee Restivo', 'Frank Trosky', 'Mary Ann Cupples Wisniowski', 'Kimberlee Duran-Woomer', 'Wayne M. Chiurazzi', 'Timothy W. Young', 'Stephanie Bonincontro']",7,"['Democratic', 'Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican']"
98,2,constable,,,COLLIER,['Daniel A. Styche'],1,['Democratic']
99,1,mayor,,,CORAOPOLIS,"['Michael Dixon', 'Robb J. Cardimen']",2,"['Democratic', 'Republican']"
100,1,tax collector,,,CORAOPOLIS,['David Falcione'],1,['Democratic']
103,1,mayor,,,CRAFTON,"['Fred Amendola', 'Mike Zuhl', 'Coletta A. Perry']",3,"['Democratic', 'Democratic', 'Democratic']"
104,1,tax collector,,,CRAFTON,['none'],0,['N/A']
105,4,member of council,4,,CRAFTON,"['Erin Bollenbacher', 'Phillip G. Levasseur', 'Fred Amendola', 'Brad  Crouse', 'Colton L. Chandler', 'John S. Oliverio', 'Vincent L. Ridilla', 'Sean A. Tremba', 'Regina B. Patton', 'James L. Santucci', 'Justin Marks', 'Brad  Crouse', 'Kirsten R. Compitello']",13,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Democratic', 'Democratic', 'Democratic']"
106,2,member of council,2,,CRAFTON,"['Erin Bollenbacher', 'Phillip G. Levasseur', 'Fred Amendola', 'Brad  Crouse', 'Colton L. Chandler', 'John S. Oliverio', 'Vincent L. Ridilla', 'Sean A. Tremba', 'Regina B. Patton', 'James L. Santucci', 'Justin Marks', 'Brad  Crouse', 'Kirsten R. Compitello']",13,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Democratic', 'Democratic', 'Democratic']"
107,1,constable,,,CRAFTON,['James J. Bragano'],1,['Democratic']
108,1,tax collector,,,CRESCENT,['Morgan Withee'],1,['Republican']
111,2,constable,,,CRESCENT,['Daniel Perciavalle'],1,['Democratic']
112,1,mayor,,,DORMONT,['Jason Walsh'],1,['Democratic']
113,1,tax collector,,,DORMONT,['none'],0,['N/A']
114,4,member of council,,,DORMONT,"['Jennifer Mazzocco', 'Alvaro A. Varela, III', 'Ilene Leventhal Dubin']",3,"['Democratic', 'Democratic', 'Democratic']"
115,1,constable,,,DORMONT,['none'],0,['N/A']
116,1,mayor,,,DRAVOSBURG,['Kevin R. McKelvey'],1,['Democratic']
117,1,tax collector,,,DRAVOSBURG,['Charles Gross'],1,['Democratic']
118,3,member of council,,,DRAVOSBURG,"['William Snodgrass Jr.', 'Jay E. McKelvey', 'John R. Palcsey']",3,"['Democratic', 'Democratic', 'Democratic']"
119,1,constable,,,DRAVOSBURG,['Paul Eagle'],1,['Democratic']
120,1,mayor,,,DUQUESNE,"['Elaine Washington', 'Timothy Caldwell', 'R. Scott Adams', 'Charles Morgan, IV', 'Nickole Nesby']",5,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic']"
121,1,controller,,,DUQUESNE,['none'],0,['N/A']
122,2,member of council,,,DUQUESNE,"['Aaron R. Adams', 'Benjamin Church', 'Tamela Walker', 'Burt Comensky', 'Elaine Washington']",5,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic']"
124,1,tax collector,,,EAST DEER,['Bernadette Paulovich'],1,['Democratic']
125,1,auditor,,,EAST DEER,['Jennifer Savka'],1,['Democratic']
127,2,constable,,,EAST DEER,['none'],0,['N/A']
128,1,mayor,,,EAST MCKEESPORT,['Robert P. Howard'],1,['Democratic']
129,1,tax collector,,,EAST MCKEESPORT,['Robert Ferrainolo'],1,['Democratic']
130,4,member of council,,,EAST MCKEESPORT,"['John Ekiert', 'Peter A. McGinty', 'Lynn Rosenbayger Brown', 'Linda Nolan']",4,"['Democratic', 'Democratic', 'Democratic', 'Democratic']"
131,1,constable,,,EAST MCKEESPORT,['none'],0,['N/A']
132,1,mayor,,,EAST PITTSBURGH,"['Earnest Frazier', 'Markus E. Adams']",2,"['Democratic', 'Democratic']"
133,1,tax collector,,,EAST PITTSBURGH,['Patrick J. Geric'],1,['Democratic']
136,1,mayor,,,EDGEWOOD,"[""Ryan O'Donnell""]",1,['Democratic']
137,1,tax collector,,,EDGEWOOD,['none'],0,['N/A']
138,4,member of council,4,,EDGEWOOD,"['Justin J. Petrolla', 'Brian Blasiole', 'Mike Frank Epitropoulos', 'John S. Wilson', 'Bhavmi Patel', 'Ronan Jones', 'Jennifer Lynne Gleba', 'Larry Conklin']",8,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Republican', 'Republican', 'Republican']"
139,1,member of council,2,,EDGEWOOD,"['Justin J. Petrolla', 'Brian Blasiole', 'Mike Frank Epitropoulos', 'John S. Wilson', 'Bhavmi Patel', 'Ronan Jones', 'Jennifer Lynne Gleba', 'Larry Conklin']",8,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Republican', 'Republican', 'Republican']"
140,1,constable,,,EDGEWOOD,['none'],0,['N/A']
141,1,mayor,,,EDGEWORTH,['Gary L. Smith'],1,['Republican']
142,1,tax collector,,,EDGEWORTH,['Chris Blazak'],1,['Republican']
143,4,member of council,,,EDGEWORTH,"['Katherine Larsen', 'Joseph T. Hoepp', 'Daniel S. Wilson', 'Ivan T. Hofmann']",4,"['Republican', 'Republican', 'Republican', 'Republican']"
144,1,constable,,,EDGEWORTH,['none'],0,['N/A']
145,1,mayor,,,ELIZABETH BOROUGH,['Barry G. Boucher'],1,['Democratic']
146,1,tax collector,,,ELIZABETH BOROUGH,['Robin Schmidt'],1,['Democratic']
147,4,member of council,,,ELIZABETH BOROUGH,"['Chad Rager', 'Dana Cress']",2,"['Democratic', 'Democratic']"
148,1,constable,,,ELIZABETH BOROUGH,['none'],0,['N/A']
149,1,tax collector,,,ELIZABETH TOWNSHIP,['Mary E. Walos'],1,['Republican']
151,2,constable,,,ELIZABETH TOWNSHIP,['Gary Corey'],1,['Republican']
152,1,mayor,,,EMSWORTH,['none'],0,['N/A']
153,1,tax collector,,,EMSWORTH,"['Laura A. West', 'Karen M. Getz', 'William A. Rumpf']",3,"['Democratic', 'Republican', 'Republican']"
154,4,member of council,,,EMSWORTH,"['Kevin Yurkovich', 'Daniel Lenz']",2,"['Democratic', 'Democratic']"
155,1,constable,,,EMSWORTH,['Sam Kochefski'],1,['Republican']
156,1,mayor,,,ETNA,['Thomas J. Rengers'],1,['Democratic']
157,1,tax collector,,,ETNA,['Karen Tomaszewski'],1,['Democratic']
161,1,tax collector,,,FAWN,['Margaret Hunkele'],1,['Republican']
162,1,auditor,6,,FAWN,['none'],0,['N/A']
163,2,supervisor,,,FAWN,"['Daniel R. Selfridge, Jr.', 'Paula J. Legge', 'David A. Montanari']",3,"['Democratic', 'Republican', 'Republican']"
164,1,constable,,,FAWN,['none'],0,['N/A']
165,1,tax collector,,,FINDLAY,"['Barbara Coates', 'Deborah Lynn Faux']",2,"['Democratic', 'Republican']"
166,1,auditor,,,FINDLAY,['Kimberly Sue Henry'],1,['Republican']
167,1,supervisor,,,FINDLAY,['Thomas J. Gallant'],1,['Republican']
168,1,constable,,,FINDLAY,"['William Edward Peterson, Jr.']",1,['Republican']
169,1,mayor,,,FOREST HILLS,['Frank Porko'],1,['Democratic']
170,1,tax collector,,,FOREST HILLS,['none'],0,['N/A']
171,4,member of council,,,FOREST HILLS,"['Cecil Watkins', 'Markus Erbeldinger', 'William J. Gorol', 'Barbara Martin', 'Lawrence Sachs', 'Angelo Baiocchi', 'Nicole Schaffner']",7,"['Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic', 'Democratic']"
172,1,constable,,,FOREST HILLS,['Nataia Malloy'],1,['Democratic']
173,1,tax collector,,,FORWARD,['William Firczak'],1,['Democratic']
174,1,auditor,6,,FORWARD,['none'],0,['N/A']
175,1,auditor,4,,FORWARD,['none'],0,['N/A']
176,1,auditor,2,,FORWARD,['none'],0,['N/A']
177,1,supervisor,,,FORWARD,"['Thomas DeRosa', 'Jayme Stoffer']",2,"['Democratic', 'Republican']"
178,1,constable,,,FORWARD,['none'],0,['N/A']
179,1,mayor,,,FOX CHAPEL,"['Walter A. Scott, III']",1,['Republican']
180,1,tax collector,,,FOX CHAPEL,['none'],0,['N/A']
181,4,member of council,,,FOX CHAPEL,"['Sarah Hanna', 'Jessica Demoise', 'Michael D. Pohl', 'Andrew C. Bennett', 'Harrison S. Lauer', 'Bradley D. Harrison', 'Frederick C. Leech']",7,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
182,1,constable,,,FOX CHAPEL,['Nelson L. Person'],1,['Republican']
183,1,mayor,,,FRANKLIN PARK,"['Sumana Naik', ""Dennis E. O'Keefe""]",2,"['Democratic', 'Republican']"
184,1,tax collector,,,FRANKLIN PARK,['Kristin L. Losco'],1,['Republican']
187,1,tax collector,,,FRAZER,['Debra L. Bajack'],1,['Democratic']
188,1,auditor,,,FRAZER,['David E. Elkin'],1,['Democratic']
